Date,Close
2015-01-28 00:00:00,262.06
2015-01-28 00:01:00,262.11
2015-01-28 00:02:00,262.13
2015-01-28 00:03:00,261.96
2015-01-28 00:04:00,262.04
2015-01-28 00:05:00,262.08
2015-01-28 00:06:00,262.08
2015-01-28 00:07:00,262.14
2015-01-28 00:08:00,262.18
2015-01-28 00:09:00,262.11
2015-01-28 00:10:00,261.99
2015-01-28 00:11:00,262.01
2015-01-28 00:12:00,261.93
2015-01-28 00:13:00,261.9
2015-01-28 00:14:00,261.89
2015-01-28 00:15:00,261.98
2015-01-28 00:16:00,261.97
2015-01-28 00:17:00,261.99
2015-01-28 00:18:00,262.02
2015-01-28 00:19:00,262.01
2015-01-28 00:20:00,261.93
2015-01-28 00:21:00,262.2
2015-01-28 00:22:00,262.17
2015-01-28 00:23:00,261.95
2015-01-28 00:24:00,262.04
2015-01-28 00:25:00,262.34
2015-01-28 00:26:00,262.43
2015-01-28 00:27:00,262.5
2015-01-28 00:28:00,262.59
2015-01-28 00:29:00,262.75
2015-01-28 00:30:00,262.85
2015-01-28 00:31:00,262.85
2015-01-28 00:32:00,262.88
2015-01-28 00:33:00,262.83
2015-01-28 00:34:00,263.09
2015-01-28 00:35:00,263.14
2015-01-28 00:36:00,263.09
2015-01-28 00:37:00,262.92
2015-01-28 00:38:00,263.2
2015-01-28 00:39:00,263.4
2015-01-28 00:40:00,263.99
2015-01-28 00:41:00,264.08
2015-01-28 00:42:00,264.2
2015-01-28 00:43:00,264.49
2015-01-28 00:44:00,264.89
2015-01-28 00:45:00,264.89
2015-01-28 00:46:00,264.8
2015-01-28 00:47:00,264.82
2015-01-28 00:48:00,264.79
2015-01-28 00:49:00,264.91
2015-01-28 00:50:00,264.77
2015-01-28 00:51:00,265.14
2015-01-28 00:52:00,265.04
2015-01-28 00:53:00,265
2015-01-28 00:54:00,264.59
2015-01-28 00:55:00,264.35
2015-01-28 00:56:00,264.45
2015-01-28 00:57:00,264.23
2015-01-28 00:58:00,263.96
2015-01-28 00:59:00,263.93
2015-01-28 01:00:00,263.62
2015-01-28 01:01:00,263.41
2015-01-28 01:02:00,263.29
2015-01-28 01:03:00,263.51
2015-01-28 01:04:00,263.78
2015-01-28 01:05:00,263.75
2015-01-28 01:06:00,263.58
2015-01-28 01:07:00,263.78
2015-01-28 01:08:00,263.9
2015-01-28 01:09:00,264.17
2015-01-28 01:10:00,264.09
2015-01-28 01:11:00,263.95
2015-01-28 01:12:00,263.82
2015-01-28 01:13:00,263.62
2015-01-28 01:14:00,263.75
2015-01-28 01:15:00,263.41
2015-01-28 01:16:00,263.41
2015-01-28 01:17:00,263.27
2015-01-28 01:18:00,263.37
2015-01-28 01:19:00,263.4
2015-01-28 01:20:00,263.38
2015-01-28 01:21:00,263.44
2015-01-28 01:22:00,263.46
2015-01-28 01:23:00,263.58
2015-01-28 01:24:00,263.81
2015-01-28 01:25:00,264.26
2015-01-28 01:26:00,264.23
2015-01-28 01:27:00,264.24
2015-01-28 01:28:00,264.36
2015-01-28 01:29:00,264.58
2015-01-28 01:30:00,264.39
2015-01-28 01:31:00,264.35
2015-01-28 01:32:00,264.19
2015-01-28 01:33:00,264.47
2015-01-28 01:34:00,264.4
2015-01-28 01:35:00,264.3
2015-01-28 01:36:00,264.41
2015-01-28 01:37:00,264.36
2015-01-28 01:38:00,264.47
2015-01-28 01:39:00,264.94
2015-01-28 01:40:00,264.97
2015-01-28 01:41:00,265.12
2015-01-28 01:42:00,265.01
2015-01-28 01:43:00,264.85
2015-01-28 01:44:00,264.65
2015-01-28 01:45:00,264.69
2015-01-28 01:46:00,264.55
2015-01-28 01:47:00,264.58
2015-01-28 01:48:00,264.25
2015-01-28 01:49:00,264.06
2015-01-28 01:50:00,264.12
2015-01-28 01:51:00,264.09
2015-01-28 01:52:00,264.01
2015-01-28 01:53:00,264
2015-01-28 01:54:00,263.95
2015-01-28 01:55:00,263.82
2015-01-28 01:56:00,263.14
2015-01-28 01:57:00,263
2015-01-28 01:58:00,262.89
2015-01-28 01:59:00,262.65
2015-01-28 02:00:00,262
2015-01-28 02:01:00,261.39
2015-01-28 02:02:00,259.55
2015-01-28 02:03:00,259.39
2015-01-28 02:04:00,259.32
2015-01-28 02:05:00,259.57
2015-01-28 02:06:00,259.16
2015-01-28 02:07:00,259.52
2015-01-28 02:08:00,259.49
2015-01-28 02:09:00,259.21
2015-01-28 02:10:00,257.92
2015-01-28 02:11:00,256.47
2015-01-28 02:12:00,255.48
2015-01-28 02:13:00,255.92
2015-01-28 02:14:00,256.73
2015-01-28 02:15:00,256.93
2015-01-28 02:16:00,257.51
2015-01-28 02:17:00,257.6
2015-01-28 02:18:00,257.66
2015-01-28 02:19:00,257.53
2015-01-28 02:20:00,257.6
2015-01-28 02:21:00,257.23
2015-01-28 02:22:00,256.95
2015-01-28 02:23:00,256.61
2015-01-28 02:24:00,256.59
2015-01-28 02:25:00,256.8
2015-01-28 02:26:00,257.19
2015-01-28 02:27:00,257.25
2015-01-28 02:28:00,257.36
2015-01-28 02:29:00,257.42
2015-01-28 02:30:00,257.39
2015-01-28 02:31:00,257.17
2015-01-28 02:32:00,257.18
2015-01-28 02:33:00,257.22
2015-01-28 02:34:00,257.57
2015-01-28 02:35:00,257.85
2015-01-28 02:36:00,257.84
2015-01-28 02:37:00,257.98
2015-01-28 02:38:00,258.58
2015-01-28 02:39:00,258.67
2015-01-28 02:40:00,258.61
2015-01-28 02:41:00,258.61
2015-01-28 02:42:00,258.95
2015-01-28 02:43:00,258.96
2015-01-28 02:44:00,258.99
2015-01-28 02:45:00,259.13
2015-01-28 02:46:00,258.99
